KegName,Office_Liters,Our_Liters,Difference,Difference_Pct
КЕГ Brewlok IPA 20 л,20.95,20.45,-0.5,-2.386634844868735
КЕГ Brewlok Stout,8.7,8.7,0.0,0.0
КЕГ Brewlok Пилс 20 л,8.25,8.25,0.0,0.0
КЕГ Rebel Apple Дикий Крест,18.0,18.0,0.0,0.0
КЕГ Барбе Руби 30 л,17.05,13.55,-3.5,-20.527859237536656
"КЕГ Бланш де Намур, светлое",22.5,22.0,-0.5,-2.2222222222222223
КЕГ Блек Шип,75.0,69.25,-5.75,-7.666666666666666
"КЕГ Гулден Драк 708, 20 л",6.0,5.5,-0.5,-8.333333333333332
КЕГ Карлова Корчма Премиум 30 л,27.0,25.6,-1.3999999999999986,-5.18518518518518
КЕГ Леруа Капиттель Блонд 30 л,16.25,14.25,-2.0,-12.307692307692308
КЕГ Монкс Кафе 20 л,15.05,15.05,0.0,0.0
КЕГ Нишко 30 л,20.1,20.1,0.0,0.0
КЕГ ФестХаус Вайцен,61.35,60.85,-0.5,-0.8149959250203749
КЕГ ФестХаус Октобер,14.5,13.0,-1.5,-10.344827586206897
КЕГ ФестХаус Хеллес,141.85,138.4,-3.4499999999999886,-2.432146633768057
