,Октябрь 2025,Октябрь 2025,Октябрь 2025,Октябрь 2025
,Кременчугская,Варшавская,Большой пр В.О.,Лиговский
,План выручка,План выручка,План выручка,План выручка
1,47500,25000,33500,17500
2,47500,25000,33500,17500
3,62500,46000,52000,30000
4,62500,46000,52000,30000
5,47500,25000,33500,17500
6,47500,25000,33500,17500
7,47500,25000,33500,17500
8,47500,25000,33500,17500
9,47500,25000,33500,17500
10,62500,46000,52000,30000
11,62500,46000,52000,30000
12,47500,25000,33500,17500
13,47500,25000,33500,17500
14,47500,25000,33500,17500
15,47500,25000,33500,17500
16,47500,25000,33500,17500
17,62500,46000,52000,30000
18,62500,46000,52000,30000
19,47500,25000,33500,17500
20,47500,25000,33500,17500
21,47500,25000,33500,17500
22,47500,25000,33500,17500
23,47500,25000,33500,17500
24,62500,46000,52000,30000
25,62500,46000,52000,30000
26,47500,25000,33500,17500
27,47500,25000,33500,17500
28,47500,25000,33500,17500
29,47500,25000,33500,17500
30,47500,25000,33500,17500
31,47500,46000,52000,30000
,,,,
,,,,
,,,,
,Ноябрь 2025,Ноябрь 2025,Ноябрь 2025,Ноябрь 2025
,Кременчугская,Варшавская,Большой пр В.О.,Лиговский
,План выручка,План выручка,План выручка,План выручка
1,65000,50000,50000,45000
2,37160,22940,26214,20000
3,37142,22940,26214,20000
4,37142,22940,26214,20000
5,37142,22940,26214,20000
6,37142,22940,26214,20000
7,65000,50000,50000,45000
8,65000,50000,50000,45000
9,37142,22940,26214,20000
10,37142,22940,26214,20000
11,37142,22940,26214,20000
12,37142,22940,26214,20000
13,37142,22940,26214,20000
14,65000,50000,50000,45000
15,65000,50000,50000,45000
16,37142,22940,26214,20000
17,37142,22940,26214,20000
18,37142,22940,26214,20000
19,37142,22940,26214,20000
20,37142,22940,26214,20000
21,65000,70000,50000,45000
22,65000,50000,50000,45000
23,37142,22940,26214,20000
24,37142,22940,26214,20000
25,37142,22940,26214,20000
26,37142,22940,26214,20000
27,37142,22940,26214,20000
28,100000,50000,50000,45000
29,65000,50000,50000,45000
30,37142,22950,26220,20000
,,,,
,,,,
,,,,
,Декабрь 2025,Декабрь 2025,Декабрь 2025,Декабрь 2025
,Кременчугская,Варшавская,Большой пр В.О.,Лиговский
 ,План выручка,План выручка,План выручка,План выручка
1,35000,23333,23333,23333
2,35000,23333,23333,23333
3,42000,28000,28000,28000
4,42000,28000,28000,28000
5,79000,52667,52467,52667
6,79000,52667,52867,52667
7,35000,23333,23333,23333
8,34483,23333,23333,23333
9,34483,23333,23333,23333
10,42000,28000,28000,28000
11,42000,28000,28000,28000
12,79000,52667,52667,52667
13,79000,52667,52667,52667
14,35000,23333,23333,23333
15,35000,23333,23333,23333
16,35000,23333,23333,23333
17,42000,28000,28000,28000
18,42000,28000,28000,28000
19,79000,52667,52667,52667
20,79000,52667,52667,52667
21,35000,23333,23333,23333
22,35000,23333,23333,23333
23,35000,23333,23333,23333
24,42000,28000,28000,28000
25,42000,28000,28000,28000
26,79000,52667,52667,52667
27,79000,52667,52667,52667
28,35000,23333,23333,23333
29,35000,23333,23333,23333
30,35000,23333,23333,23333
31,42000,28000,28000,28000
,,,,
,,,,
,,,,
,,,,
,январь 2026,январь 2026,январь 2026,январь 2026
,Кременчугская,Варшавская,Большой пр В.О.,Лиговский
 ,План выручка,План выручка,План выручка,План выручка
1,58354,40852,36800,40852
2,58354,40852,36800,40852
3,33170,23220,21000,23220
4,33170,23220,21000,23220
5,33270,23220,21000,23220
6,39803,27864,23600,27864
7,39803,27864,23600,27864
8,58354,40852,36800,40852
9,58354,40852,36800,40852
10,33170,23220,21000,23220
11,33170,23220,21000,23220
12,33100,23220,21000,23220
13,39803,27864,23600,27864
14,39803,27864,23600,27864
15,58354,40852,36800,40852
16,58354,40852,36800,40852
17,33170,23220,21000,23220
18,33170,23220,21000,23220
19,33170,23220,21000,23220
20,39803,27864,23600,27864
21,39803,27864,23600,27864
22,58354,40852,36800,40852
23,58354,40852,36800,40852
24,33170,23220,21000,23220
25,33170,23220,21000,23220
26,33170,23220,21000,23220
27,39803,27864,24600,27864
28,39803,27864,24600,27864
29,58354,40852,36800,40852
30,58354,40852,36800,40852
